Zanieczyszczenie,Warszawa-AnieliKrzywoń-pyłzawieszonyPM10
Jednostka,ug/m3
2020-01-22,20.7,
2020-01-23,22.9,
2020-01-24,40.1,
2020-01-25,37.2,
2020-01-26,48.8,
2020-01-27,67.7,
2020-01-28,47.9,
2020-01-29,13.4,
2020-01-30,14.2,
2020-01-31,12.3,
2020-02-01,15.8,
2020-02-02,9.6,
2020-02-03,
2020-02-04,16.3,
2020-02-05,13.2,
2020-02-06,17.8,
2020-02-07,18.5,
2020-02-08,48.1,
2020-02-09,37.2,
2020-02-10,12.2,
2020-02-11,10.5,
2020-02-12,12.3,
2020-02-13,22.3,
2020-02-14,35.8,
2020-02-15,39.2,
2020-02-16,22.5,
2020-02-17,16.0,
2020-02-18,14.9,
2020-02-19,17.1,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,13.6,
2020-02-26,13.2,
2020-02-27,17.6,
2020-02-28,28.7,
2020-02-29,17.4,
2020-03-01,17.4,
2020-03-02,26.7,
2020-03-03,23.4,
2020-03-04,24.3,
2020-03-05,37.7,
2020-03-06,28.8,
2020-03-07,23.0,
2020-03-08,19.6,
2020-03-09,31.0,
2020-03-10,36.8,
2020-03-11,12.9,
2020-03-12,14.0,
2020-03-13,13.6,
2020-03-14,8.5,
2020-03-15,21.6,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
